,Segment,Country,Product,Discount Band,Units Sold,Sale Price,Gross Sales,Discounts,Net Sales,COGS,Order Date,Shipping Cost,Taxes,Category,Region,Shipping Method,Payment Method,Customer Segment,Order Priority,Promotion,Return Status,Order Channel,Region Manager,Marketing Source
253,Midmarket,Mexico,Velo,Medium,2861,15,42915,2145.75,40769.25,28610,2014-01-01 Midmarket Mexico Velo,14305,6115.3875,Category1,South,Priority,Cash,Wholesale,High,Flash Sale,Not Returned,In-Store,Manager3,TV Ads
254,Enterprise,Germany,Velo,Medium,807,125,100875,5043.75,95831.25,96840,2014-02-01 Enterprise Germany Velo,4035,14374.6875,Category2,North,Standard,Credit Card,Retail,High,,Not Returned,In-Store,Manager3,Social Media
255,Government,United States of America,Velo,Medium,602,350,210700,10535,200165,156520,2014-06-01 Government United States of America Velo,3010,30024.75,Category3,West,Express,Credit Card,Wholesale,High,Flash Sale,,Online,Manager1,TV Ads
256,Government,United States of America,Velo,Medium,2832,20,56640,2832,53808,28320,2014-08-01 Government United States of America Velo,14160,8071.2,Category1,East,Standard,Credit Card,Retail,Low,Summer Sale,Returned,Phone,Manager1,TV Ads
257,Government,France,Velo,Medium,1579,20,31580,1579,30001,15790,2014-08-01 Government France Velo,7895,4500.15,Category2,East,Standard,Cash,Retail,Low,,Returned,In-Store,Manager3,TV Ads
258,Enterprise,United States of America,Velo,Medium,861,125,107625,5381.25,102243.75,103320,2014-10-01 Enterprise United States of America Velo,4305,15336.5625,Category2,South,Express,Cash,Retail,Medium,Summer Sale,Not Returned,Phone,Manager2,TV Ads
259,Enterprise,France,Velo,Medium,704,125,88000,4400,83600,84480,2013-10-01 Enterprise France Velo,3520,12540,Category1,West,Priority,Cash,Wholesale,Low,Holiday Discount,,Phone,Manager3,Email Campaign
260,Government,France,Velo,Medium,1033,20,20660,1033,19627,10330,2013-12-01 Government France Velo,5165,2944.05,Category1,South,Standard,Cash,Retail,Medium,Summer Sale,Not Returned,Online,Manager1,Email Campaign
261,Small Business,Germany,Velo,Medium,1250,300,375000,18750,356250,312500,2014-12-01 Small Business Germany Velo,6250,53437.5,Category2,West,Standard,PayPal,Retail,Medium,Flash Sale,,Online,Manager3,Email Campaign
262,Government,Canada,VTT,Medium,1389,20,27780,1389,26391,13890,2013-10-01 Government Canada VTT,6945,3958.65,Category3,North,Standard,PayPal,Retail,High,Summer Sale,Not Returned,Online,Manager3,Social Media
263,Government,United States of America,VTT,Medium,1265,20,25300,1265,24035,12650,2013-11-01 Government United States of America VTT,6325,3605.25,Category2,West,Express,PayPal,Retail,Medium,Flash Sale,,Phone,Manager3,
264,Government,Germany,VTT,Medium,2297,20,45940,2297,43643,22970,2013-11-01 Government Germany VTT,11485,6546.45,Category1,West,Standard,PayPal,Retail,Low,Holiday Discount,,Phone,Manager2,TV Ads
265,Government,United States of America,VTT,Medium,2663,20,53260,2663,50597,26630,2014-12-01 Government United States of America VTT,13315,7589.55,Category3,West,Express,Credit Card,Retail,Low,Holiday Discount,Not Returned,Phone,Manager3,Email Campaign
266,Government,United States of America,VTT,Medium,570,7,3990,199.5,3790.5,2850,2014-12-01 Government United States of America VTT,2850,568.575,Category3,East,Standard,Cash,Wholesale,Low,,Returned,In-Store,Manager2,Social Media
267,Government,France,VTT,Medium,2487,7,17409,870.45,16538.55,12435,2014-12-01 Government France VTT,12435,2480.7825,Category2,West,Express,PayPal,Wholesale,Low,Flash Sale,Returned,Online,Manager1,Email Campaign
268,Government,Germany,Amarilla,Medium,1350,350,472500,23625,448875,351000,2014-02-01 Government Germany Amarilla,6750,67331.25,Category2,South,Express,PayPal,Retail,Medium,Flash Sale,Not Returned,In-Store,Manager3,Email Campaign
269,Government,Canada,Amarilla,Medium,552,350,193200,9660,183540,143520,2014-08-01 Government Canada Amarilla,2760,27531,,South,Express,Cash,Retail,Low,,,In-Store,Manager3,TV Ads
270,Government,Canada,Amarilla,Medium,1228,350,429800,21490,408310,319280,2013-10-01 Government Canada Amarilla,6140,61246.5,Category3,North,Standard,Credit Card,Retail,High,,Returned,Online,Manager1,TV Ads
271,Small Business,Germany,Amarilla,Medium,1250,300,375000,18750,356250,312500,2014-12-01 Small Business Germany Amarilla,6250,53437.5,Category1,South,Priority,PayPal,Wholesale,Medium,Flash Sale,Not Returned,In-Store,Manager1,Email Campaign
272,Midmarket,France,Paseo,Medium,3801,15,57015,3420.9,53594.1,38010,2014-04-01 Midmarket France Paseo,19005,8039.115,Category1,West,Standard,Credit Card,Retail,Medium,Flash Sale,Returned,In-Store,Manager2,TV Ads
273,Government,United States of America,Carretera,Medium,1117.5,20,22350,1341,21009,11175,2014-01-01 Government United States of America Carretera,5587.5,3151.35,Category3,West,Priority,Cash,Retail,Medium,,,Phone,Manager2,
274,Midmarket,Canada,Carretera,Medium,2844,15,42660,2559.6,40100.4,28440,2014-06-01 Midmarket Canada Carretera,14220,6015.06,Category1,East,Express,PayPal,Retail,High,Flash Sale,Returned,In-Store,Manager3,Email Campaign
275,Channel Partners,Mexico,Carretera,Medium,562,12,6744,404.64,6339.36,1686,2014-09-01 Channel Partners Mexico Carretera,2810,950.904,Category2,West,Priority,PayPal,Wholesale,High,Flash Sale,,Phone,Manager3,
276,Channel Partners,Canada,Carretera,Medium,2299,12,27588,1655.28,25932.72,6897,2013-10-01 Channel Partners Canada Carretera,11495,3889.908,Category1,South,Priority,Credit Card,Wholesale,Low,Flash Sale,Returned,In-Store,Manager2,TV Ads
277,Midmarket,United States of America,Carretera,Medium,2030,15,30450,1827,28623,20300,2014-11-01 Midmarket United States of America Carretera,10150,4293.45,Category2,North,Priority,Credit Card,Wholesale,Low,Summer Sale,Not Returned,Phone,Manager2,TV Ads
278,Government,United States of America,Carretera,Medium,263,7,1841,110.46,1730.54,1315,2013-11-01 Government United States of America Carretera,1315,259.581,Category3,North,Standard,PayPal,Retail,Medium,Flash Sale,,In-Store,Manager2,Social Media
279,Enterprise,Germany,Carretera,Medium,887,125,110875,6652.5,104222.5,106440,2013-12-01 Enterprise Germany Carretera,4435,15633.375,Category2,West,Priority,PayPal,Wholesale,High,Flash Sale,Not Returned,In-Store,Manager2,Social Media
280,Government,Mexico,Montana,Medium,980,350,343000,20580,322420,254800,2014-04-01 Government Mexico Montana,4900,48363,Category1,East,Standard,PayPal,Retail,High,Summer Sale,,In-Store,Manager3,Email Campaign
281,Government,Germany,Montana,Medium,1460,350,511000,30660,480340,379600,2014-05-01 Government Germany Montana,7300,72051,Category3,South,Priority,Cash,Wholesale,Medium,Summer Sale,Not Returned,In-Store,Manager2,Social Media
282,Government,France,Montana,Medium,1403,7,9821,589.26,9231.74,7015,2013-10-01 Government France Montana,7015,1384.761,Category2,North,Priority,Credit Card,Retail,Medium,Flash Sale,Not Returned,Phone,Manager1,Email Campaign
283,Channel Partners,United States of America,Montana,Medium,2723,12,32676,1960.56,30715.44,8169,2014-11-01 Channel Partners United States of America Montana,13615,4607.316,Category3,South,Standard,PayPal,Retail,High,Summer Sale,Returned,In-Store,Manager1,Email Campaign
284,Government,France,Paseo,Medium,1496,350,523600,31416,492184,388960,2014-06-01 Government France Paseo,7480,73827.6,Category2,West,Express,Credit Card,Retail,Low,Holiday Discount,,Phone,Manager2,Social Media
285,Channel Partners,Canada,Paseo,Medium,2299,12,27588,1655.28,25932.72,6897,2013-10-01 Channel Partners Canada Paseo,11495,3889.908,Category2,East,Standard,Cash,Retail,High,Summer Sale,Returned,Phone,Manager2,Social Media
286,Government,United States of America,Paseo,Medium,727,350,254450,15267,239183,189020,2013-10-01 Government United States of America Paseo,3635,35877.45,Category2,East,Standard,Cash,Retail,High,Summer Sale,Not Returned,Phone,Manager3,Email Campaign
287,Enterprise,Canada,Velo,Medium,952,125,119000,7140,111860,114240,2014-02-01 Enterprise Canada Velo,4760,16779,Category2,East,Standard,Cash,Wholesale,Low,Holiday Discount,Not Returned,Online,Manager3,Social Media
288,Enterprise,United States of America,Velo,Medium,2755,125,344375,20662.5,323712.5,330600,2014-02-01 Enterprise United States of America Velo,13775,48556.875,Category1,North,Priority,Cash,Wholesale,High,,Returned,Online,Manager1,
289,Midmarket,Germany,Velo,Medium,1530,15,22950,1377,21573,15300,2014-05-01 Midmarket Germany Velo,7650,3235.95,Category1,South,Standard,Cash,Wholesale,Medium,,,Phone,Manager1,TV Ads
290,Government,France,Velo,Medium,1496,350,523600,31416,492184,388960,2014-06-01 Government France Velo,7480,73827.6,Category1,South,Standard,Credit Card,Retail,High,Holiday Discount,Returned,Online,Manager3,Social Media
291,Government,Mexico,Velo,Medium,1498,7,10486,629.16,9856.84,7490,2014-06-01 Government Mexico Velo,7490,1478.526,,North,Priority,Credit Card,Wholesale,Medium,Flash Sale,Returned,In-Store,Manager1,Social Media
292,Small Business,France,Velo,Medium,1221,300,366300,21978,344322,305250,2013-10-01 Small Business France Velo,6105,51648.3,Category2,South,Priority,Cash,Wholesale,High,Flash Sale,Returned,Online,Manager1,TV Ads
293,Government,France,Velo,Medium,2076,350,726600,43596,683004,539760,2013-10-01 Government France Velo,10380,102450.6,Category2,East,Priority,Cash,Wholesale,Low,Flash Sale,Not Returned,Online,Manager2,Email Campaign
294,Midmarket,Canada,VTT,Medium,2844,15,42660,2559.6,40100.4,28440,2014-06-01 Midmarket Canada VTT,14220,6015.06,Category2,North,Express,Cash,Wholesale,Medium,Summer Sale,Returned,Phone,Manager2,Email Campaign
295,Government,Mexico,VTT,Medium,1498,7,10486,629.16,9856.84,7490,2014-06-01 Government Mexico VTT,7490,1478.526,Category2,North,Priority,PayPal,Wholesale,High,Holiday Discount,Returned,Online,Manager1,
296,Small Business,France,VTT,Medium,1221,300,366300,21978,344322,305250,2013-10-01 Small Business France VTT,6105,51648.3,Category3,East,Standard,Cash,Retail,Low,Summer Sale,Returned,Online,Manager3,TV Ads
297,Government,Mexico,VTT,Medium,1123,20,22460,1347.6,21112.4,11230,2013-11-01 Government Mexico VTT,5615,3166.86,Category2,North,Express,Cash,Retail,High,Flash Sale,Returned,Phone,Manager3,Email Campaign
298,Small Business,Canada,VTT,Medium,2436,300,730800,43848,686952,609000,2013-12-01 Small Business Canada VTT,12180,103042.8,,North,Priority,Cash,Wholesale,High,Holiday Discount,Returned,In-Store,Manager2,Email Campaign
299,Enterprise,France,Amarilla,Medium,1987.5,125,248437.5,14906.25,233531.25,238500,2014-01-01 Enterprise France Amarilla,9937.5,35029.6875,Category3,West,Express,PayPal,Wholesale,Medium,Flash Sale,Returned,Phone,Manager2,Email Campaign
300,Government,Mexico,Amarilla,Medium,1679,350,587650,35259,552391,436540,2014-09-01 Government Mexico Amarilla,8395,82858.65,,East,Express,PayPal,Retail,Low,,,Online,Manager3,TV Ads
301,Government,United States of America,Amarilla,Medium,727,350,254450,15267,239183,189020,2013-10-01 Government United States of America Amarilla,3635,35877.45,Category2,South,Priority,PayPal,Wholesale,Medium,,,In-Store,Manager2,TV Ads
302,Government,France,Amarilla,Medium,1403,7,9821,589.26,9231.74,7015,2013-10-01 Government France Amarilla,7015,1384.761,Category3,East,Standard,PayPal,Wholesale,Low,Holiday Discount,,Phone,Manager2,TV Ads
303,Government,France,Amarilla,Medium,2076,350,726600,43596,683004,539760,2013-10-01 Government France Amarilla,10380,102450.6,Category2,South,Priority,Credit Card,Retail,High,,Returned,In-Store,Manager1,TV Ads
304,Government,France,Montana,Medium,1757,20,35140,2108.4,33031.6,17570,2013-10-01 Government France Montana,8785,4954.74,,North,Express,Cash,Retail,High,,,Phone,Manager3,
305,Midmarket,United States of America,Paseo,Medium,2198,15,32970,1978.2,30991.8,21980,2014-08-01 Midmarket United States of America Paseo,10990,4648.77,Category1,North,Express,Cash,Wholesale,High,Flash Sale,Not Returned,Online,Manager1,
306,Midmarket,Germany,Paseo,Medium,1743,15,26145,1568.7,24576.3,17430,2014-08-01 Midmarket Germany Paseo,8715,3686.445,,North,Express,Cash,Retail,Low,Flash Sale,Not Returned,Online,Manager1,Email Campaign
307,Midmarket,United States of America,Paseo,Medium,1153,15,17295,1037.7,16257.3,11530,2014-10-01 Midmarket United States of America Paseo,5765,2438.595,Category1,East,Express,Credit Card,Retail,Medium,,Returned,Phone,Manager2,TV Ads
308,Government,France,Paseo,Medium,1757,20,35140,2108.4,33031.6,17570,2013-10-01 Government France Paseo,8785,4954.74,Category3,North,Priority,Cash,Retail,High,Summer Sale,Returned,In-Store,Manager2,Email Campaign
309,Government,Germany,Velo,Medium,1001,20,20020,1201.2,18818.8,10010,2014-08-01 Government Germany Velo,5005,2822.82,Category1,East,Express,Cash,Retail,High,,Not Returned,In-Store,Manager3,TV Ads
310,Government,Mexico,Velo,Medium,1333,7,9331,559.86,8771.14,6665,2014-11-01 Government Mexico Velo,6665,1315.671,Category3,North,Express,Cash,Retail,High,Summer Sale,Not Returned,In-Store,Manager3,TV Ads
311,Midmarket,United States of America,VTT,Medium,1153,15,17295,1037.7,16257.3,11530,2014-10-01 Midmarket United States of America VTT,5765,2438.595,Category1,West,Priority,Credit Card,Retail,High,,,Online,Manager1,Social Media
312,Channel Partners,Mexico,Carretera,Medium,727,12,8724,610.68,8113.32,2181,2014-02-01 Channel Partners Mexico Carretera,3635,1216.998,Category2,East,Express,Credit Card,Retail,Medium,Flash Sale,Not Returned,Online,Manager1,
313,Channel Partners,Canada,Carretera,Medium,1884,12,22608,1582.56,21025.44,5652,2014-08-01 Channel Partners Canada Carretera,9420,3153.816,Category3,West,Standard,Credit Card,Retail,Low,Summer Sale,Returned,Phone,Manager3,Social Media
314,Government,Mexico,Carretera,Medium,1834,20,36680,2567.6,34112.4,18340,2013-09-01 Government Mexico Carretera,9170,5116.86,,North,Standard,Cash,Retail,Medium,Summer Sale,,Phone,Manager3,Social Media
315,Channel Partners,Mexico,Montana,Medium,2340,12,28080,1965.6,26114.4,7020,2014-01-01 Channel Partners Mexico Montana,11700,3917.16,,West,Express,Cash,Wholesale,High,,Returned,In-Store,Manager1,TV Ads
316,Channel Partners,France,Montana,Medium,2342,12,28104,1967.28,26136.72,7026,2014-11-01 Channel Partners France Montana,11710,3920.508,Category3,East,Standard,Cash,Wholesale,Medium,,,Phone,Manager2,Email Campaign
317,Government,France,Paseo,Medium,1031,7,7217,505.19,6711.81,5155,2013-09-01 Government France Paseo,5155,1006.7715,Category2,North,Priority,PayPal,Wholesale,Low,Flash Sale,Returned,In-Store,Manager2,TV Ads
318,Midmarket,Canada,Velo,Medium,1262,15,18930,1325.1,17604.9,12620,2014-05-01 Midmarket Canada Velo,6310,2640.735,,South,Standard,Credit Card,Retail,Low,Holiday Discount,Not Returned,In-Store,Manager3,Email Campaign
319,Government,Canada,Velo,Medium,1135,7,7945,556.15,7388.85,5675,2014-06-01 Government Canada Velo,5675,1108.3275,Category2,East,Express,PayPal,Retail,Medium,Summer Sale,Returned,Online,Manager1,Social Media
320,Government,United States of America,Velo,Medium,547,7,3829,268.03,3560.97,2735,2014-11-01 Government United States of America Velo,2735,534.1455,Category1,North,Priority,Cash,Wholesale,Low,Summer Sale,Returned,In-Store,Manager3,Social Media
321,Government,Canada,Velo,Medium,1582,7,11074,775.18,10298.82,7910,2014-12-01 Government Canada Velo,7910,1544.823,Category3,North,Standard,Credit Card,Retail,Low,Holiday Discount,Returned,Phone,Manager2,Social Media
322,Channel Partners,France,VTT,Medium,1738.5,12,20862,1460.34,19401.66,5215.5,2014-04-01 Channel Partners France VTT,8692.5,2910.249,Category1,West,Express,Cash,Retail,Medium,Summer Sale,,Online,Manager1,
323,Channel Partners,Germany,VTT,Medium,2215,12,26580,1860.6,24719.4,6645,2013-09-01 Channel Partners Germany VTT,11075,3707.91,Category1,East,Express,PayPal,Retail,High,Flash Sale,Not Returned,In-Store,Manager2,TV Ads
324,Government,Canada,VTT,Medium,1582,7,11074,775.18,10298.82,7910,2014-12-01 Government Canada VTT,7910,1544.823,Category1,East,Standard,PayPal,Wholesale,Low,,Not Returned,Online,Manager2,Email Campaign
325,Government,Canada,Amarilla,Medium,1135,7,7945,556.15,7388.85,5675,2014-06-01 Government Canada Amarilla,5675,1108.3275,Category2,South,Priority,PayPal,Wholesale,Low,Holiday Discount,Returned,In-Store,Manager1,Social Media
326,Government,United States of America,Carretera,Medium,1761,350,616350,43144.5,573205.5,457860,2014-03-01 Government United States of America Carretera,8805,85980.825,Category2,East,Express,Credit Card,Wholesale,High,,,Online,Manager3,TV Ads
327,Small Business,France,Carretera,Medium,448,300,134400,9408,124992,112000,2014-06-01 Small Business France Carretera,2240,18748.8,Category2,North,Priority,Credit Card,Retail,Low,Flash Sale,Returned,Phone,Manager2,
328,Small Business,France,Carretera,Medium,2181,300,654300,45801,608499,545250,2014-10-01 Small Business France Carretera,10905,91274.85,Category1,North,Standard,Credit Card,Retail,Low,Summer Sale,,In-Store,Manager1,Social Media
329,Government,France,Montana,Medium,1976,20,39520,2766.4,36753.6,19760,2014-10-01 Government France Montana,9880,5513.04,Category2,North,Priority,Credit Card,Retail,Medium,,Not Returned,Online,Manager2,Social Media
330,Small Business,France,Montana,Medium,2181,300,654300,45801,608499,545250,2014-10-01 Small Business France Montana,10905,91274.85,Category1,North,Standard,PayPal,Retail,High,Flash Sale,,In-Store,Manager3,Email Campaign
331,Enterprise,Germany,Montana,Medium,2500,125,312500,21875,290625,300000,2013-11-01 Enterprise Germany Montana,12500,43593.75,Category1,South,Standard,Cash,Retail,Low,,Returned,Phone,Manager3,TV Ads
332,Small Business,Canada,Paseo,Medium,1702,300,510600,35742,474858,425500,2014-05-01 Small Business Canada Paseo,8510,71228.7,Category2,West,Standard,PayPal,Wholesale,High,,Returned,In-Store,Manager1,
333,Small Business,France,Paseo,Medium,448,300,134400,9408,124992,112000,2014-06-01 Small Business France Paseo,2240,18748.8,Category2,South,Standard,Credit Card,Retail,High,Holiday Discount,,In-Store,Manager3,TV Ads
334,Enterprise,Germany,Paseo,Medium,3513,125,439125,30738.75,408386.25,421560,2014-07-01 Enterprise Germany Paseo,17565,61257.9375,,West,Priority,Credit Card,Wholesale,Medium,Holiday Discount,,Online,Manager1,Social Media
335,Midmarket,France,Paseo,Medium,2101,15,31515,2206.05,29308.95,21010,2014-08-01 Midmarket France Paseo,10505,4396.3425,,East,Express,PayPal,Retail,Low,Summer Sale,,Online,Manager2,
336,Midmarket,United States of America,Paseo,Medium,2931,15,43965,3077.55,40887.45,29310,2013-09-01 Midmarket United States of America Paseo,14655,6133.1175,Category3,South,Priority,Cash,Retail,High,,Not Returned,Online,Manager1,Social Media
337,Government,France,Paseo,Medium,1535,20,30700,2149,28551,15350,2014-09-01 Government France Paseo,7675,4282.65,Category3,North,Priority,Cash,Wholesale,Low,Summer Sale,,Online,Manager1,Email Campaign
338,Small Business,Germany,Paseo,Medium,1123,300,336900,23583,313317,280750,2013-09-01 Small Business Germany Paseo,5615,46997.55,,West,Priority,Cash,Wholesale,Low,,Not Returned,In-Store,Manager3,
339,Small Business,Canada,Paseo,Medium,1404,300,421200,29484,391716,351000,2013-11-01 Small Business Canada Paseo,7020,58757.4,Category1,South,Express,Credit Card,Wholesale,Medium,Holiday Discount,Returned,Online,Manager3,TV Ads
340,Channel Partners,Mexico,Paseo,Medium,2763,12,33156,2320.92,30835.08,8289,2013-11-01 Channel Partners Mexico Paseo,13815,4625.262,Category1,West,Standard,Cash,Wholesale,Medium,,,Phone,Manager3,Social Media
341,Government,Germany,Paseo,Medium,2125,7,14875,1041.25,13833.75,10625,2013-12-01 Government Germany Paseo,10625,2075.0625,Category3,West,Priority,PayPal,Wholesale,High,Holiday Discount,,In-Store,Manager3,Social Media
342,Small Business,France,Velo,Medium,1659,300,497700,34839,462861,414750,2014-07-01 Small Business France Velo,8295,69429.15,Category2,North,Standard,PayPal,Wholesale,High,Flash Sale,Returned,Phone,Manager2,Social Media
343,Government,Mexico,Velo,Medium,609,20,12180,852.6,11327.4,6090,2014-08-01 Government Mexico Velo,3045,1699.11,Category1,East,Standard,Cash,Wholesale,High,Flash Sale,Not Returned,In-Store,Manager2,TV Ads
344,Enterprise,Germany,Velo,Medium,2087,125,260875,18261.25,242613.75,250440,2014-09-01 Enterprise Germany Velo,10435,36392.0625,Category1,South,Standard,Credit Card,Wholesale,Low,Summer Sale,Returned,In-Store,Manager1,Email Campaign
345,Government,France,Velo,Medium,1976,20,39520,2766.4,36753.6,19760,2014-10-01 Government France Velo,9880,5513.04,,West,Priority,Credit Card,Retail,Medium,Summer Sale,Not Returned,Online,Manager1,Social Media
346,Government,United States of America,Velo,Medium,1421,20,28420,1989.4,26430.6,14210,2013-12-01 Government United States of America Velo,7105,3964.59,Category3,South,Standard,PayPal,Wholesale,High,Summer Sale,,Phone,Manager1,
347,Small Business,United States of America,Velo,Medium,1372,300,411600,28812,382788,343000,2014-12-01 Small Business United States of America Velo,6860,57418.2,Category1,North,Express,PayPal,Retail,High,Flash Sale,Not Returned,Phone,Manager1,
348,Government,Germany,Velo,Medium,588,20,11760,823.2,10936.8,5880,2013-12-01 Government Germany Velo,2940,1640.52,Category2,North,Express,Cash,Retail,Low,,Returned,Online,Manager3,Social Media
349,Channel Partners,Canada,VTT,Medium,3244.5,12,38934,2725.38,36208.62,9733.5,2014-01-01 Channel Partners Canada VTT,16222.5,5431.293,Category3,North,Standard,Credit Card,Wholesale,High,Holiday Discount,Not Returned,In-Store,Manager1,
350,Small Business,France,VTT,Medium,959,300,287700,20139,267561,239750,2014-02-01 Small Business France VTT,4795,40134.15,Category2,East,Express,PayPal,Retail,Low,Flash Sale,Not Returned,In-Store,Manager3,TV Ads
351,Small Business,Mexico,VTT,Medium,2747,300,824100,57687,766413,686750,2014-02-01 Small Business Mexico VTT,13735,114961.95,Category3,North,Standard,Credit Card,Wholesale,Medium,Summer Sale,Not Returned,Phone,Manager3,Social Media
352,Enterprise,Canada,Amarilla,Medium,1645,125,205625,14393.75,191231.25,197400,2014-05-01 Enterprise Canada Amarilla,8225,28684.6875,Category3,South,Priority,Cash,Retail,Low,Summer Sale,Returned,Online,Manager1,
353,Government,France,Amarilla,Medium,2876,350,1006600,70462,936138,747760,2014-09-01 Government France Amarilla,14380,140420.7,Category2,North,Express,Cash,Wholesale,High,Flash Sale,Not Returned,In-Store,Manager1,Email Campaign
354,Enterprise,Germany,Amarilla,Medium,994,125,124250,8697.5,115552.5,119280,2013-09-01 Enterprise Germany Amarilla,4970,17332.875,Category2,West,Express,Cash,Retail,High,Summer Sale,Returned,Phone,Manager2,Email Campaign
355,Government,Canada,Amarilla,Medium,1118,20,22360,1565.2,20794.8,11180,2014-11-01 Government Canada Amarilla,5590,3119.22,Category1,East,Priority,Credit Card,Wholesale,Low,Summer Sale,,In-Store,Manager3,Social Media
356,Small Business,United States of America,Amarilla,Medium,1372,300,411600,28812,382788,343000,2014-12-01 Small Business United States of America Amarilla,6860,57418.2,Category1,East,Priority,PayPal,Retail,High,Holiday Discount,,Phone,Manager3,
357,Government,Canada,Montana,Medium,488,7,3416,273.28,3142.72,2440,2014-02-01 Government Canada Montana,2440,471.408,Category1,North,Standard,Cash,Retail,Medium,Summer Sale,Returned,Online,Manager3,Social Media
358,Government,United States of America,Montana,Medium,1282,20,25640,2051.2,23588.8,12820,2014-06-01 Government United States of America Montana,6410,3538.32,Category2,South,Priority,Cash,Wholesale,Low,,Not Returned,Online,Manager1,Social Media
359,Government,Canada,Paseo,Medium,257,7,1799,143.92,1655.08,1285,2014-05-01 Government Canada Paseo,1285,248.262,Category3,West,Standard,Cash,Retail,Low,Flash Sale,Not Returned,Phone,Manager3,Social Media
360,Government,United States of America,Amarilla,Medium,1282,20,25640,2051.2,23588.8,12820,2014-06-01 Government United States of America Amarilla,6410,3538.32,Category2,West,Express,PayPal,Wholesale,High,Summer Sale,,Online,Manager1,Social Media
361,Enterprise,Mexico,Carretera,Medium,1540,125,192500,15400,177100,184800,2014-08-01 Enterprise Mexico Carretera,7700,26565,Category3,South,Express,PayPal,Retail,High,,Returned,Phone,Manager2,Social Media
362,Midmarket,France,Carretera,Medium,490,15,7350,588,6762,4900,2014-11-01 Midmarket France Carretera,2450,1014.3,Category1,West,Priority,Credit Card,Retail,Low,Holiday Discount,Returned,Online,Manager3,Social Media
363,Government,Mexico,Carretera,Medium,1362,350,476700,38136,438564,354120,2014-12-01 Government Mexico Carretera,6810,65784.6,,North,Express,Credit Card,Wholesale,Low,Flash Sale,Not Returned,Online,Manager1,Social Media
364,Midmarket,France,Montana,Medium,2501,15,37515,3001.2,34513.8,25010,2014-03-01 Midmarket France Montana,12505,5177.07,Category2,East,Express,Credit Card,Retail,Medium,Flash Sale,Not Returned,Phone,Manager2,Email Campaign
365,Government,Canada,Montana,Medium,708,20,14160,1132.8,13027.2,7080,2014-06-01 Government Canada Montana,3540,1954.08,Category2,East,Priority,Credit Card,Retail,Medium,Summer Sale,,Phone,Manager1,Email Campaign
366,Government,Germany,Montana,Medium,645,20,12900,1032,11868,6450,2014-07-01 Government Germany Montana,3225,1780.2,Category2,East,Standard,PayPal,Retail,Low,,Returned,Phone,Manager2,Email Campaign
367,Small Business,France,Montana,Medium,1562,300,468600,37488,431112,390500,2014-08-01 Small Business France Montana,7810,64666.8,Category1,South,Express,PayPal,Wholesale,High,Summer Sale,,Phone,Manager2,
368,Small Business,Canada,Montana,Medium,1283,300,384900,30792,354108,320750,2013-09-01 Small Business Canada Montana,6415,53116.2,Category2,North,Priority,Cash,Retail,Medium,Holiday Discount,Returned,Phone,Manager1,Social Media
369,Midmarket,Germany,Montana,Medium,711,15,10665,853.2,9811.8,7110,2014-12-01 Midmarket Germany Montana,3555,1471.77,Category2,East,Standard,PayPal,Wholesale,Low,Flash Sale,Not Returned,In-Store,Manager3,
370,Enterprise,Mexico,Paseo,Medium,1114,125,139250,11140,128110,133680,2014-03-01 Enterprise Mexico Paseo,5570,19216.5,Category2,West,Express,Cash,Retail,Low,Summer Sale,,Phone,Manager1,
371,Government,Germany,Paseo,Medium,1259,7,8813,705.04,8107.96,6295,2014-04-01 Government Germany Paseo,6295,1216.194,Category2,West,Express,PayPal,Wholesale,High,Summer Sale,Returned,Phone,Manager3,
372,Government,Germany,Paseo,Medium,1095,7,7665,613.2,7051.8,5475,2014-05-01 Government Germany Paseo,5475,1057.77,Category1,South,Express,Cash,Retail,Medium,Holiday Discount,Returned,In-Store,Manager1,TV Ads
373,Government,Germany,Paseo,Medium,1366,20,27320,2185.6,25134.4,13660,2014-06-01 Government Germany Paseo,6830,3770.16,,North,Express,Credit Card,Retail,Medium,Holiday Discount,Not Returned,In-Store,Manager1,
374,Small Business,Mexico,Paseo,Medium,2460,300,738000,59040,678960,615000,2014-06-01 Small Business Mexico Paseo,12300,101844,Category2,West,Standard,Cash,Wholesale,High,Flash Sale,Returned,Online,Manager2,Email Campaign
375,Government,United States of America,Paseo,Medium,678,7,4746,379.68,4366.32,3390,2014-08-01 Government United States of America Paseo,3390,654.948,,East,Standard,Credit Card,Retail,Low,,Returned,Online,Manager1,TV Ads
376,Government,Germany,Paseo,Medium,1598,7,11186,894.88,10291.12,7990,2014-08-01 Government Germany Paseo,7990,1543.668,,North,Priority,PayPal,Retail,Medium,Summer Sale,Not Returned,Phone,Manager2,Social Media
377,Government,Germany,Paseo,Medium,2409,7,16863,1349.04,15513.96,12045,2013-09-01 Government Germany Paseo,12045,2327.094,Category1,North,Priority,PayPal,Wholesale,Low,Flash Sale,,In-Store,Manager1,Social Media
378,Government,Germany,Paseo,Medium,1934,20,38680,3094.4,35585.6,19340,2014-09-01 Government Germany Paseo,9670,5337.84,Category1,North,Standard,Credit Card,Retail,High,Summer Sale,Returned,Phone,Manager2,Email Campaign
